station_eu_code;st_x;st_y;altitudine;regione;provincia;comune;nome_stazione;Mese3.feriali1;Mese3.feriali2;Mese3.feriali3;Mese3.feriali4;Mese3.festivi1;Mese3.festivi2;Mese3.festivi3;Mese3.festivi4;Mese3.festivi5;Mese4.feriali1;Mese4.feriali2;Mese4.feriali3;Mese4.feriali4;Mese4.feriali5;Mese4.festivi1;Mese4.festivi2;Mese4.festivi3;Mese4.festivi4;tipo_zona;tipo_stazione;zona_tipo;i_surface;d_a1;d_a2
IT0732A;8.80417;45.83611;382;LOMBARDIA;Varese;Varese;VARESE - VIA VIDOLETTI;0.04169764742255211;-0.09592171013355257;-0.3576897084712982;-0.5282868146896362;-0.13364984095096588;-0.1622871458530426;-0.26912328600883484;-0.6253997683525085;-0.46773484349250793;-0.23503264784812927;-0.5484359860420227;-0.5223978161811829;-0.3451465368270874;-0.5343620181083679;-0.41828420758247375;-0.6571966409683228;-0.4654022455215454;-0.6308866739273071;U;F;FU;18.426300048828125;6948.17578125;1601.675048828125
IT1459A;8.83449244;45.58288714;206;LOMBARDIA;Varese;Busto Arsizio;BUSTO ARSIZIO - ACCAM;-0.03948547691106796;-0.08059415966272354;-0.1186833307147026;-0.4425483644008637;-0.25615376234054565;0.02775975130498409;0.09434882551431656;-0.5288670659065247;-0.3886338472366333;-0.11053412407636642;-0.3675593435764313;-0.5450277924537659;-0.1099330186843872;-0.39737120270729065;-0.275863379240036;-0.5459071397781372;-0.49889570474624634;-0.39213135838508606;S;F;FS;20.59647560119629;6108.57177734375;4318.548828125
IT1650A;9.024167;45.626944;212;LOMBARDIA;Varese;Saronno;SARONNO - SANTUARIO;-0.05878958478569984;-0.14942729473114014;-0.26875653862953186;-0.4689803719520569;-0.301870733499527;-0.00580294523388147;-0.07350131124258041;-0.6749739050865173;-0.5043204426765442;-0.196627140045166;-0.4007692039012909;-0.5603421926498413;-0.28635209798812866;-0.6083985567092896;-0.3639378547668457;-0.6009458303451538;-0.5322339534759521;-0.568807065486908;U;F;FU;69.88792419433594;720.956298828125;323.93707275390625
IT1588A;8.820278;45.816944;388;LOMBARDIA;Varese;Varese;VARESE - VIA COPELLI;0.07189315557479858;-0.09932896494865416;-0.35288959741592407;-0.5356082320213318;-0.1345662921667099;-0.13526193797588348;-0.2550439238548279;-0.6371619701385498;-0.4722733795642853;-0.2027813047170639;-0.5389466285705566;-0.5178768038749695;-0.34188297390937805;-0.5455982089042664;-0.4043886959552765;-0.6560183167457581;-0.4661630690097809;-0.6364086270332336;U;T;TU;43.09117126464844;4910.78173828125;2006.09033203125
IT1873A;8.75;45.61667;215;LOMBARDIA;Varese;Ferno;FERNO;-0.00156500039156526;-0.07532839477062225;-0.1367969959974289;-0.47926467657089233;-0.2495587170124054;0.01229229476302862;0.04112264141440391;-0.5172809958457947;-0.4065157175064087;-0.1991095393896103;-0.4720030725002289;-0.5549434423446655;-0.1276921033859253;-0.4059029221534729;-0.3775617480278015;-0.5970063209533691;-0.4807695150375366;-0.4188737273216248;U;F;FU;38.67026901245117;6644.14013671875;4989.49853515625
IT0775A;9.385;46.137222;228;LOMBARDIA;Lecco;Colico;COLICO;-0.16158029437065125;0.00109804677776992;-0.2496279925107956;-0.3075525760650635;0.1786368191242218;-0.1298174113035202;-0.2245587259531021;-0.4891298711299896;-0.4334203898906708;-0.3138340413570404;-0.35487374663352966;-0.44911158084869385;-0.11867199093103407;-0.18174313008785248;-0.3310495913028717;-0.5193145871162415;-0.28651508688926697;-0.1528688818216324;S;F;FS;14.259931564331055;42144.41015625;2422.10888671875
IT0776A;9.395833;45.849444;214;LOMBARDIA;Lecco;Lecco;LECCO VIA AMENDOLA;-0.11495301872491837;-0.07417353242635727;-0.24367204308509827;-0.3651858866214752;-0.1592622697353363;-0.14605173468589783;-0.2311304807662964;-0.4928659200668335;-0.5124638676643372;-0.3880975842475891;-0.5221700072288513;-0.476519912481308;-0.13120795786380768;-0.529315173625946;-0.4976668953895569;-0.6506482362747192;-0.2312662303447723;-0.3040643334388733;U;T;TU;62.191375732421875;22803;259.465576171875
IT0777A;9.40619194;45.69795956;292;LOMBARDIA;Lecco;Merate;MERATE;0.06318801641464233;-0.15542469918727875;-0.37792736291885376;-0.4779753088951111;-0.29761573672294617;0.09854917973279952;-0.3434104323387146;-0.6598872542381287;-0.6128349304199219;-0.396508276462555;-0.5388757586479187;-0.44027450680732727;-0.05982314050197601;-0.5342743992805481;-0.5250835418701172;-0.6650623083114624;-0.2238159626722336;-0.3610269129276275;U;T;TU;47.36534881591797;6562.57080078125;356.84222412109375
IT0771A;9.08361;45.80444;201;LOMBARDIA;Como;Como;COMO - VIALE CATTANEO;0.04894291236996651;-0.11023703217506409;-0.34103360772132874;-0.566612958908081;-0.1880338042974472;-0.04268354922533035;-0.2759995460510254;-0.6915009617805481;-0.5952166318893433;-0.3642086684703827;-0.4981868863105774;-0.5277113914489746;-0.2679825723171234;-0.5836751461029053;-0.49057406187057495;-0.6187132000923157;-0.4222264885902405;-0.5224169492721558;U;T;TU;69.49220275878906;2354.572265625;1401.7015380859375
IT1648A;9.12583;45.72722;320;LOMBARDIA;Como;Cantù;CANTU - VIA MEUCCI;-0.0805625393986702;-0.20882382988929749;-0.2714720368385315;-0.4630866348743438;-0.26630496978759766;-0.16149206459522247;-0.2150531709194183;-0.6325525045394897;-0.5259323716163635;-0.3195561170578003;-0.4584682583808899;-0.46504753828048706;-0.14571067690849304;-0.5290926694869995;-0.4630087912082672;-0.6019810438156128;-0.3499576151371002;-0.4321942627429962;S;F;FS;63.54084014892578;5763.61376953125;3959.37939453125
IT2007A;9.222778;45.809444;323;LOMBARDIA;Como;Erba;ERBA- Via Battisti;-0.11310341209173204;-0.10085219889879228;-0.2886946499347687;-0.4567302167415619;-0.23318377137184143;-0.15058527886867523;-0.23638467490673065;-0.6220640540122986;-0.53298419713974;-0.4156078696250915;-0.519808828830719;-0.4507370889186859;-0.13105140626430511;-0.5202042460441589;-0.5319187045097351;-0.6145071983337402;-0.2461354434490204;-0.3629518151283264;U;F;FU;48.949527740478516;12740.5654296875;822.394775390625
IT0908A;10.3725;46.470278;1225;LOMBARDIA;Sondrio;Bormio;BORMIO;0.01708581484854221;-0.12789791822433472;-0.2997954189777374;0.07694817334413528;-0.10333151370286942;-0.1132313832640648;-0.46685540676116943;-0.3568856716156006;-0.22581534087657928;-0.5517442226409912;-0.33618783950805664;-0.3680818974971771;-0.12768800556659698;0.34935855865478516;-0.3695610463619232;-0.3641426265239715;-0.27390360832214355;0.1940668225288391;U;F;FU;23.94930076599121;64963.37109375;486.7099609375
IT1190A;9.56639;46.13167;262;LOMBARDIA;Sondrio;Morbegno;MORBEGNO;-0.111624114215374;-0.2544918656349182;-0.3834799230098725;-0.423012375831604;0.1434967815876007;-0.2353924661874771;-0.45899271965026855;-0.5714168548583984;-0.5566788911819458;-0.5000013709068298;-0.5557637214660645;-0.4982677102088928;-0.10940390080213548;-0.2812546491622925;-0.5153153538703918;-0.6910684704780579;-0.2501961588859558;-0.21446938812732697;U;F;FU;37.192527770996094;52065.41015625;72.85514831542969
